Left X , Left Y , Left Z , Left Diameter , Right X , Right Y , Right Z , Right Diameter ,TimeStamp
0.26,0.15,0.42,2.71,0.23,0.18,0.42,3.28,232012772
0.27,0.15,0.42,2.71,0.23,0.18,0.42,3.28,232023875
0.27,0.14,0.42,2.7,0.23,0.17,0.42,3.28,232034978
0.27,0.14,0.42,2.68,0.23,0.18,0.42,3.27,232046081
0.28,0.14,0.42,2.68,0.23,0.17,0.42,3.26,232057184
0.28,0.15,0.42,2.69,0.23,0.17,0.42,3.27,232068287
0.27,0.16,0.42,2.71,0.23,0.16,0.42,3.26,232079391
0.27,0.17,0.42,2.72,0.23,0.17,0.42,3.27,232090494
0.27,0.16,0.42,2.7,0.23,0.16,0.42,3.26,232101597
0.27,0.16,0.42,2.7,0.23,0.16,0.42,3.27,232112700
0.27,0.15,0.42,2.71,0.23,0.16,0.42,3.26,232123803
0.27,0.16,0.42,2.71,0.23,0.17,0.42,3.27,232134906
0.27,0.16,0.42,2.7,0.23,0.16,0.42,3.26,232146009
0.26,0.14,0.42,2.67,0.23,0.16,0.42,3.26,232157112
0.28,0.14,0.42,2.68,0.24,0.16,0.42,3.26,232168216
0.31,0.13,0.42,2.69,0.26,0.16,0.42,3.27,232179319
0.32,0.15,0.42,2.7,0.27,0.16,0.42,3.27,232190422
0.33,0.14,0.42,2.71,0.28,0.15,0.42,3.27,232201525
0.31,0.14,0.42,2.69,0.28,0.15,0.42,3.26,232212628
0.31,0.13,0.42,2.68,0.28,0.15,0.43,3.26,232223731
0.32,0.14,0.42,2.7,0.27,0.15,0.43,3.26,232234834
0.33,0.15,0.42,2.7,0.28,0.16,0.43,3.26,232245937
0.33,0.16,0.43,2.7,0.28,0.16,0.43,3.26,232257041
0.32,0.14,0.43,2.67,0.28,0.17,0.43,3.27,232268144
0.32,0.13,0.43,2.67,0.28,0.16,0.43,3.27,232279247
0.32,0.13,0.43,2.69,0.28,0.16,0.43,3.25,232290350
0.32,0.13,0.43,2.69,0.27,0.16,0.43,3.25,232301453
0.32,0.13,0.43,2.68,0.27,0.16,0.43,3.25,232312556
0.32,0.12,0.43,2.67,0.27,0.16,0.43,3.25,232323659
0.32,0.12,0.43,2.67,0.28,0.16,0.43,3.24,232334762
0.32,0.12,0.43,2.66,0.28,0.16,0.43,3.23,232345866
0.33,0.13,0.43,2.66,0.28,0.16,0.43,3.22,232356969
0.32,0.13,0.43,2.65,0.27,0.15,0.43,3.21,232368072
0.32,0.12,0.43,2.64,0.27,0.15,0.43,3.22,232379175
0.32,0.12,0.43,2.62,0.28,0.15,0.43,3.21,232390278
0.32,0.12,0.43,2.62,0.28,0.16,0.43,3.22,232401381
0.32,0.14,0.43,2.66,0.28,0.15,0.43,3.21,232412484
0.31,0.15,0.43,2.67,0.27,0.15,0.43,3.21,232423587
0.32,0.16,0.43,2.68,0.27,0.15,0.43,3.21,232434691
0.31,0.15,0.43,2.66,0.27,0.16,0.43,3.21,232445794
0.32,0.14,0.43,2.66,0.28,0.16,0.43,3.2,232456897
0.31,0.12,0.43,2.65,0.27,0.16,0.43,3.2,232468000
0.32,0.12,0.43,2.64,0.28,0.16,0.43,3.2,232479103
0.32,0.13,0.43,2.64,0.28,0.15,0.43,3.19,232490206
0.32,0.13,0.43,2.65,0.28,0.15,0.43,3.2,232501309
0.32,0.13,0.43,2.65,0.27,0.16,0.43,3.2,232512412
0.32,0.13,0.43,2.66,0.27,0.16,0.43,3.2,232523516
0.32,0.13,0.43,2.65,0.27,0.16,0.43,3.19,232534619
0.32,0.13,0.43,2.65,0.27,0.15,0.43,3.19,232545722
0.32,0.12,0.43,2.65,0.27,0.15,0.43,3.18,232556825
0.32,0.13,0.43,2.66,0.28,0.15,0.43,3.17,232567928
0.31,0.13,0.43,2.67,0.27,0.15,0.43,3.17,232579031
0.31,0.13,0.43,2.66,0.27,0.14,0.43,3.17,232590134
0.31,0.13,0.43,2.65,0.28,0.14,0.43,3.17,232601237
0.31,0.12,0.43,2.63,0.27,0.14,0.43,3.16,232612341
0.32,0.12,0.43,2.64,0.27,0.14,0.43,3.16,232623444
0.32,0.12,0.43,2.63,0.28,0.14,0.43,3.16,232634547
0.33,0.12,0.43,2.64,0.29,0.15,0.43,3.16,232645650
0.33,0.11,0.43,2.64,0.3,0.15,0.43,3.17,232656753
0.34,0.12,0.43,2.64,0.31,0.15,0.43,3.16,232667856
0.36,0.16,0.43,2.7,0.31,0.15,0.43,3.16,232678959
0.36,0.17,0.43,2.72,0.31,0.16,0.43,3.16,232690062
0.36,0.18,0.43,2.72,0.31,0.16,0.43,3.15,232701166
0.35,0.16,0.43,2.7,0.31,0.16,0.43,3.15,232712269
0.35,0.16,0.43,2.69,0.31,0.16,0.43,3.14,232723372
0.36,0.16,0.43,2.69,0.31,0.16,0.43,3.13,232734475
0.36,0.14,0.43,2.64,0.32,0.17,0.43,3.13,232745578
0.36,0.14,0.43,2.64,0.31,0.16,0.43,3.13,232756681
0.35,0.14,0.43,2.63,0.31,0.16,0.43,3.13,232767784
0.37,0.24,0.43,2.82,0.31,0.15,0.43,3.13,232778887
0.36,0.24,0.43,2.79,0.32,0.15,0.43,3.12,232789991
0.36,0.24,0.43,2.8,0.32,0.15,0.43,3.12,232801094
0.35,0.19,0.43,2.7,0.32,0.15,0.43,3.12,232812197
0.35,0.19,0.43,2.71,0.31,0.14,0.43,3.11,232823300
0.35,0.18,0.43,2.71,0.31,0.14,0.43,3.1,232834403
0.35,0.12,0.43,2.62,0.31,0.14,0.43,3.09,232845506
0.35,0.12,0.43,2.62,0.31,0.14,0.43,3.09,232856609
0.35,0.12,0.43,2.63,0.32,0.14,0.43,3.09,232867712
0.39,0.23,0.43,2.8,0.31,0.14,0.43,3.1,232878816
0.39,0.23,0.43,2.8,0.32,0.14,0.43,3.1,232889919
0.39,0.22,0.43,2.79,0.31,0.15,0.43,3.09,232901022
0.35,0.12,0.43,2.62,0.32,0.16,0.43,3.1,232912125
0.35,0.13,0.43,2.61,0.31,0.16,0.43,3.1,232923228
0.36,0.14,0.43,2.63,0.32,0.16,0.43,3.1,232934331
0.36,0.14,0.42,2.62,0.31,0.15,0.43,3.09,232945434
0.36,0.13,0.42,2.63,0.31,0.16,0.43,3.1,232956537
0.36,0.15,0.42,2.63,0.31,0.17,0.43,3.1,232967641
0.37,0.23,0.42,2.79,0.31,0.18,0.43,3.11,232978744
0.37,0.22,0.42,2.78,0.31,0.18,0.43,3.11,232989847
0.37,0.21,0.42,2.77,0.32,0.17,0.43,3.11,233000950
0.35,0.12,0.42,2.6,0.32,0.16,0.43,3.1,233012053
0.35,0.12,0.42,2.61,0.31,0.15,0.43,3.1,233023156
0.35,0.12,0.42,2.6,0.32,0.16,0.43,3.1,233034259
0.37,0.17,0.42,2.71,0.31,0.17,0.42,3.11,233045362
0.37,0.18,0.42,2.7,0.32,0.16,0.42,3.11,233056466
0.37,0.18,0.42,2.71,0.31,0.16,0.42,3.11,233067569
0.39,0.23,0.42,2.81,0.31,0.16,0.42,3.12,233078672
0.38,0.24,0.42,2.83,0.31,0.16,0.43,3.13,233089775
0.38,0.24,0.42,2.83,0.32,0.16,0.43,3.13,233100878
0.36,0.17,0.42,2.69,0.31,0.15,0.43,3.13,233111981
0.35,0.15,0.42,2.68,0.32,0.16,0.43,3.12,233123084
0.36,0.16,0.42,2.7,0.32,0.15,0.43,3.13,233134187
0.38,0.22,0.42,2.85,0.32,0.15,0.43,3.13,233145291
0.38,0.22,0.42,2.84,0.32,0.15,0.43,3.13,233156394
0.38,0.22,0.42,2.83,0.32,0.16,0.43,3.13,233167497
0.37,0.19,0.42,2.74,0.32,0.16,0.43,3.13,233178600
0.37,0.19,0.42,2.75,0.32,0.16,0.43,3.13,233189703
0.37,0.18,0.42,2.75,0.32,0.17,0.43,3.13,233200806
0.32,0.14,0.42,2.66,0.3,0.16,0.43,3.12,233211909
0.28,0.15,0.42,2.64,0.25,0.18,0.42,3.12,233223012
0.25,0.17,0.42,2.64,0.22,0.2,0.42,3.12,233234116
0.14,0.2,0.42,2.66,0.14,0.22,0.43,3.13,233245219
0.1,0.2,0.43,2.66,0.08,0.22,0.43,3.14,233256322
0.1,0.2,0.43,2.65,0.07,0.23,0.43,3.14,233267425
0.1,0.21,0.43,2.63,0.07,0.24,0.43,3.14,233278528
0.1,0.21,0.42,2.62,0.07,0.24,0.43,3.13,233289631
0.1,0.21,0.42,2.63,0.07,0.25,0.43,3.12,233300734
0.1,0.19,0.42,2.63,0.07,0.25,0.43,3.13,233311837
0.1,0.19,0.42,2.62,0.08,0.25,0.43,3.13,233322941
0.1,0.21,0.42,2.66,0.08,0.24,0.43,3.13,233334044
0.1,0.23,0.42,2.67,0.08,0.23,0.43,3.12,233345147
0.11,0.23,0.42,2.66,0.07,0.23,0.43,3.12,233356250
0.1,0.21,0.42,2.63,0.07,0.23,0.43,3.11,233367353
0.1,0.21,0.42,2.63,0.08,0.24,0.43,3.11,233378456
0.1,0.22,0.42,2.63,0.08,0.24,0.43,3.12,233389559
0.11,0.23,0.42,2.63,0.07,0.24,0.43,3.11,233400662
0.1,0.23,0.42,2.64,0.07,0.24,0.42,3.12,233411766
0.09,0.23,0.42,2.64,0.06,0.24,0.42,3.13,233422869
0.09,0.23,0.42,2.64,0.06,0.24,0.42,3.13,233433972
0.09,0.23,0.42,2.64,0.06,0.25,0.42,3.13,233445075
0.09,0.24,0.42,2.64,0.06,0.25,0.42,3.14,233456178
0.09,0.24,0.42,2.65,0.06,0.25,0.43,3.13,233467281
0.09,0.24,0.42,2.65,0.06,0.25,0.43,3.14,233478384
0.08,0.24,0.42,2.65,0.05,0.25,0.43,3.13,233489487
0.08,0.24,0.42,2.64,0.06,0.24,0.43,3.14,233500591
0.08,0.23,0.42,2.64,0.06,0.24,0.43,3.14,233511694
0.08,0.23,0.42,2.62,0.06,0.24,0.43,3.15,233522797
0.09,0.23,0.42,2.64,0.05,0.24,0.43,3.15,233533900
0.09,0.24,0.42,2.65,0.05,0.24,0.43,3.14,233545003
0.09,0.25,0.42,2.67,0.05,0.24,0.43,3.13,233556106
0.09,0.24,0.42,2.66,0.06,0.24,0.43,3.14,233567209
0.09,0.23,0.42,2.66,0.06,0.24,0.43,3.15,233578312
0.08,0.23,0.42,2.66,0.06,0.24,0.43,3.15,233589416
0.08,0.23,0.42,2.67,0.05,0.25,0.43,3.15,233600519
0.08,0.23,0.42,2.67,0.06,0.25,0.43,3.15,233611622
0.09,0.24,0.42,2.68,0.06,0.26,0.43,3.16,233622725
0.09,0.23,0.42,2.67,0.05,0.26,0.43,3.17,233633828
0.09,0.24,0.42,2.69,0.05,0.26,0.43,3.16,233644931
0.09,0.23,0.42,2.69,0.05,0.26,0.43,3.16,233656034
0.09,0.23,0.42,2.7,0.06,0.26,0.43,3.16,233667137
0.09,0.24,0.42,2.72,0.06,0.25,0.43,3.18,233678241
0.09,0.24,0.42,2.71,0.05,0.25,0.43,3.19,233689344
0.09,0.24,0.42,2.72,0.06,0.25,0.43,3.2,233700447
0.1,0.22,0.42,2.72,0.08,0.26,0.43,3.2,233711550
0.12,0.23,0.42,2.75,0.09,0.26,0.43,3.2,233722653
0.13,0.24,0.42,2.74,0.09,0.25,0.43,3.2,233733756
0.14,0.23,0.42,2.73,0.09,0.25,0.43,3.21,233744859
0.14,0.22,0.43,2.74,0.09,0.25,0.43,3.21,233755962
0.14,0.22,0.43,2.75,0.09,0.26,0.43,3.21,233767066
0.13,0.23,0.43,2.74,0.09,0.25,0.43,3.21,233778169
0.13,0.22,0.42,2.72,0.09,0.25,0.43,3.21,233789272
0.13,0.23,0.42,2.71,0.09,0.25,0.43,3.21,233800375
0.12,0.22,0.42,2.72,0.09,0.25,0.43,3.2,233811478
0.12,0.22,0.42,2.72,0.09,0.25,0.43,3.21,233822581
0.12,0.22,0.42,2.72,0.09,0.24,0.43,3.21,233833684
0.12,0.2,0.42,2.7,0.09,0.24,0.43,3.22,233844787
0.12,0.2,0.43,2.72,0.09,0.23,0.43,3.21,233855891
0.12,0.21,0.43,2.72,0.09,0.24,0.43,3.21,233866994
0.13,0.2,0.43,2.71,0.09,0.24,0.43,3.21,233878097
0.13,0.2,0.43,2.72,0.09,0.24,0.43,3.21,233889200
